Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;354;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;1192854,84;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;355;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;14949756,3;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;356;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;4950710,16;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;357;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;42167192,5;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;358;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;7393350;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;359;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;12057695,5;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;360;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;970920;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;361;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;1636800;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;362;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;11135492,8;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;363;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;36835110;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;364;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;40697852,4;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;365;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;398160;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;366;Serviço;925550-225/2026;Contratação de Serviços médicos;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;313111,2;0;02/02/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;2507;Serviço;925550-31/2026;Serviços de Oxigenoterapia;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;587400;0;10/12/2026
ERN - SECRETARIA DE ESTADO DA SAÚDE PÚBLICA;925550;2508;Serviço;925550-31/2026;Serviços de Oxigenoterapia;Catálogo do Compras.gov.br;Serviço;931;SERVIÇOS DE SAÚDE HUMANA;;;;;-;0;0;2105525;0;10/12/2026
