Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;255;Material;926787-16/2026;Medicamentos e insumos;Catálogo do Compras.gov.br;Material;6505;DROGAS E MEDICAMENTOS;;;;;-;0,0000;0,0000;6000000,0000;0,0000;31/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;429;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;279;APAGADOR QUADRO BRANCO;411136;ALTURA: 2,80, COMPRIMENTO: 14, LARGURA: 5, MATERIAL BASE: FELTRO, MATERIAL CORPO: RESINA TERMOPLÁSTICA;UN;24,0000;16,4800;395,5200;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;430;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7090;SUPRIMENTOS DE INFORMÁTICA - TIC;6251;DISCO COMPACTO - CD/DVD;451751;CAPACIDADE DVD ROM: 4.7, CARACTERÍSTICAS ADICIONAIS: EMBALAGEM TIPO ENVELOPE DE PAPEL, TEMPO DURAÇÃO: 120, TIPO: GRAVÁVEL / DVD R, VELOCIDADE GRAVAÇÃO: 16X;TBO;15,0000;397,0000;5955,0000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;431;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;6530;MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES;11495;LIXEIRA;610861;CAPACIDADE: 100, CARACTERÍSTICAS ADICIONAIS: CONFORME MODELO, COR: BRANCA, MATERIAL: POLIETILENO ALTA DENSIDADE, TIPO: COM TAMPA E PEDAL ACOPLADOS;UN;120,0000;394,7000;47364,0000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;432;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;6530;MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES;11495;LIXEIRA;296435;APLICAÇÃO: COLETA DE LIXO, CAPACIDADE: 200, COR: AZUL, MATERIAL: PLÁSTICO, TIPO: COM TAMPA;UN;65,0000;369,9000;24043,5000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;433;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;10736;PINCEL QUADRO BRANCO / MAGNÉTICO;409983;CARACTERÍSTICAS ADICIONAIS: ESCRITA 2MM, PONTA ARREDONDADA, COR: DIVERSAS, MATERIAL: PLÁSTICO, MATERIAL PONTA: FIBRA SINTÉTICA, TIPO CARGA: RECARREGÁVEL;CX;20,0000;34,6200;692,4000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;434;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;624320;APOIO BRAÇO: COM BRAÇOS, CARACTERÍSTICAS ADICIONAIS: COM RODÍZIOS, COR: PRETA, MATERIAL ASSENTO: ESPUMA POLIURETANO ANATÔMICA, MATERIAL ENCOSTO: ESPUMA POLIURETANO ANATÔMICA, MATERIAL ESTRUTURA: MADEIRA COMPENSADA, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: COURO ECOLÓGICO, TIPO BASE: GIRATÓRIA RECLINÁVEL, TIPO ENCOSTO: ESPALDAR ALTO, TIPO SISTEMA REGULAGEM VERTICAL: PNEUMÁTICO;UN;50,0000;581,0000;29050,0000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;435;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;313;CADEIRA ESCRITÓRIO;486777;ACABAMENTO SUPERFICIAL ESTRUTURA: PINTURA EM EPÓXI PÓ, APOIO BRAÇO: SEM BRAÇOS, CARACTERÍSTICAS ADICIONAIS: COM APOIO PARA OS PÉS, MATERIAL ASSENTO: ESPUMA POLIURETANO INJETADO, MATERIAL ENCOSTO: ESPUMA POLIURETANO INJETADO, MATERIAL ESTRUTURA: AÇO, MATERIAL REVESTIMENTO ASSENTO E ENCOSTO: COURO ECOLÓGICO VINIL, TIPO BASE: FIXA, TIPO ENCOSTO: ENCOSTO INTERLIGADO AO ASSENTO POR TUDO DE AÇO, TIPO SISTEMA REGULAGEM VERTICAL: A GÁS, TRATAMENTO SUPERFICIAL ESTRUTURA: PINTURA EM EPÓXI;UN;50,0000;332,9100;16645,5000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;436;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;7125;ARMÁRIOS E ESTANTES;15290;ARMÁRIO;623625;ACABAMENTO SUPERFICIAL: FITA DE PVC, ALTURA: 2,10, CARACTERÍSTICAS ADICIONAIS: FECHADURA COM TRAVAMENTO SIMULTÂNEO SUPERIOR E INF, COR: CINZA CLARO, LARGURA: 0,80, MATERIAL: MDP, MATERIAL BASE: MDP, MATERIAL PORTAS: MDP 18MM, MATERIAL PRATELEIRAS: MDP 25MM, PROFUNDIDADE: 0,50, QUANTIDADE PORTAS: 2, QUANTIDADE PRATELEIRAS: 04, TIPO: ALTO, TIPO PORTAS: COM GIRO ABERTURA 270°;UN;20,0000;429,0000;8580,0000;0,0000;30/12/2026
ERN-HOSPITAL REGIONAL DEOCLÉCIO MARQUES LUC.;926787;437;Material;926787-8/2026;Almoxarifado;Catálogo do Compras.gov.br;Material;6530;MOBILIÁRIO, EQUIPAMENTOS, UTENSÍLIOS E  SUPRIMENTOS  HOSPITALARES;4076;CADEIRA DE RODAS;623881;ACABAMENTO DO ENCOSTO E ASSENTO: ALMOFADADO, IMPERMEÁVEL, ACESSÓRIOS: CINTOS DE SEGURANÇA, APOIO BRAÇO: APOIO BRAÇOS REMOVÍVEIS E AJUSTÁVEIS, APOIO PÉS: PLATAFORMA P/ PÉS, CARACTERÍSTICAS ADICIONAIS: APOIO TRONCO E MÃOS REGULÁVEIS, ENCOSTO CABEÇA: ENCOSTO CABEÇA AJUSTÁVEL, MATERIAL ESTRUTURA: ALUMÍNIO, TIPO CONSTRUTIVO: DOBRÁVEL EM L, TIPO FREIO: C/ FREIO, TIPO FUNCIONAMENTO: MANUAL, TIPO USO: ADAPTADA, SOB MEDIDA;UN;10,0000;602,1900;6021,9000;0,0000;30/12/2026
